TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1017568;;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-A2M > ZZ-Archiv-A2M;1020633;A2M 1 kg Barunüsse;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-A2M > ZZ-Archiv-A2M;1020719;A2M 1 kg Paranüsse gewürzt;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-A2M > ZZ-Archiv-A2M;1020720;A2M 1 kg Paranüsse natur;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Non-Food > ZZ-Archiv-Gutscheine;1017400;10 x Einkaufsgutschein gebana CHF 30.-;Schenken Sie etwas Sinnvolles und Feines! Mit einem Gutschein für einen Einkauf bei uns können sich die Beschenkten selber etwas aus unserem Sortiment aussuchen. Sie können wählen, ob Sie den Gutschein per Email selbst erhalten bzw. versenden lassen möchten, oder ob wir Ihnen einen physischen Gutschein per Post zustellen sollen. Unsere Gutscheine sind 1 Jahr lang gültig.;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Snacks > Schokolade - weitere;1021499;12x Schokolade aus Togo - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Snacks > Schokolade - weitere;1021033;15 Tafeln Schokolade ChocoSamona - A2M;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-A2M > ZZ-Archiv-A2M;1021483;15x Paranussaufstrich - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021776;Paranussaufstrich mit Kakao;Aufstrich aus wilden Paranüssen und wildem Kakao aus dem bolivianischen Dschungel. Der Aufstrich ist vor Ort seit 2019 auf dem lokalen Markt etabliert. Im Rahmen eines Projektes auf unserer ehemaligen Plattform für Crowdprojekte, wollte der Produzent den Aufstrich in die Schweiz bringen. Das Projekt war allerdings geprägt von etlichen Rückschlägen und Verzögerungen. Letzere führten unter anderem dazu, dass einige Unterstützer:innen von ihrer Bestellung zurückgetreten sind und wir nun einige Gläser übrig haben. Der Aufstrich schmeckt sehr süss und leicht nach Kakao. Aufgrund der Verzögerungen ist er nicht mehr lange haltbar. Mindestens haltbar bis 05.11.2025;;;;;;;;Bolivien;Brotaufstrich & Nussmus, Nüsse & Kerne, Paranüsse, Vorrat
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1006661;;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1006663;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020636;A2M 2 kg Barunüsse;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020716;A2M 2 kg Paranüsse gemischt;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1017392;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Snacks > Schokolade - weitere;1021500;20x Schokolade aus Togo - A2M;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Non-Food > ZZ-Archiv-Weitere Non-Food;1019158;2833 / Ana Katolyt;;;;;;;;;;
