Artikeltyp;ExternalKey;Artikelname;ParentExternalKey
Einzelartikel;1017568;;
Einzelartikel;1020633;A2M 1 kg Barunüsse;
Einzelartikel;1020719;A2M 1 kg Paranüsse gewürzt;
Einzelartikel;1020720;A2M 1 kg Paranüsse natur;
Einzelartikel;1017400;10 x Einkaufsgutschein gebana CHF 30.-;
Einzelartikel;1021499;12x Schokolade aus Togo - A2M;
Einzelartikel;1021033;15 Tafeln Schokolade ChocoSamona - A2M;
Einzelartikel;1021483;15x Paranussaufstrich - A2M;
Einzelartikel;1021776;Paranussaufstrich mit Kakao;
Einzelartikel;1006661;;
Einzelartikel;1006663;;
Einzelartikel;1020636;A2M 2 kg Barunüsse;
Einzelartikel;1020716;A2M 2 kg Paranüsse gemischt;
Einzelartikel;1017392;;
Einzelartikel;1021500;20x Schokolade aus Togo - A2M;
Einzelartikel;1019158;2833 / Ana Katolyt;
Einzelartikel;1017397;2x 2kg « Verantwortungs-Schoggi » Drops 2.L, Versand Jan. 21;
Einzelartikel;1017398;2x 2kg « Verantwortungs-Schoggi » Drops 3.L, Versand Jan. 22;
Einzelartikel;1017396;2x 2kg « Verantwortungs-Schoggi » Drops, Versand Jan. 2020;
Einzelartikel;1020722;A2M 30 ml Paranussöl;
Einzelartikel;1020901;2x Saucen Communauts - A2M;
Einzelartikel;1021079;Mango Mischpaket;
Einzelartikel;1020637;A2M 3 kg Barunüsse;
Einzelartikel;1020717;A2M 3 kg Paranüsse gewürzt;
Einzelartikel;1020718;A2M 3 kg Paranüsse natur;
Einzelartikel;1021030;3 Tafeln Schokolade ChocoSamona - A2M;
Einzelartikel;1021034;30 Tafeln Schokolade ChocoSamona - A2M;
Einzelartikel;1020899;3x Konfitüre Communauts - A2M;
Einzelartikel;1021459;3x Paranussaufstrich - A2M;
Einzelartikel;1020715;A2M 4 kg Paranüsse gemischt;
Einzelartikel;1021493;4 Tafeln Schokolade aus Togo - A2M;
Einzelartikel;1016764;fairafric Kennenlernpaket;
Einzelartikel;1020689;fairafric Kennenlernpaket;
Einzelartikel;1021758;fairafric Kennenlernpaket;
Einzelartikel;1020638;A2M 5 kg Barunüsse;
Einzelartikel;1021075;Barunüsse;
Einzelartikel;1021226;A2M 500 g Barunüsse;
Einzelartikel;1020723;A2M 5x 30 ml Paranussöl;
Einzelartikel;1021419;fairafric Kennenlernpaket;
Einzelartikel;1021031;6 Tafeln Schokolade ChocoSamona - A2M;
Einzelartikel;1021464;6x Paranussaufstrich - A2M;
Einzelartikel;1020900;6x Saucen Communauts - A2M;
Einzelartikel;1022134;fairafric Kennenlernpaket;
